,genres,popularity
0,21st century classical,6.6
1,432hz,43.333333333333336
2,8-bit,0.0
3,a cappella,44.97435897435897
4,abstract,43.8
5,abstract beats,62.0
6,abstract hip hop,9.244897959183673
7,abstract idm,46.0
8,accordeon,35.666666666666664
9,accordion,21.8
10,acid house,32.74074074074074
11,acid jazz,22.692307692307693
12,acid rock,32.039370078740156
13,acid techno,1.5
14,acid trance,40.0
15,acousmatic,9.808219178082192
16,acoustic blues,11.17470525187567
17,acoustic chill,23.0
18,acoustic guitar cover,5.0
19,acoustic pop,45.229166666666664
20,acoustic punk,36.073170731707314
21,acoustic rock,49.916666666666664
22,action rock,0.0
23,adoracao,0.0
24,adoracion,43.875
25,adult standards,25.645181441308424
26,adventista,36.5
27,afghan pop,39.142857142857146
28,afghan traditional,8.333333333333334
29,african gospel,14.0
30,african percussion,12.923076923076923
31,african reggae,43.44444444444444
32,african rock,38.125
33,african-american classical,15.436305732484076
34,afrikaans,14.0
35,afro dancehall,39.642857142857146
36,afro house,21.571428571428573
37,afro psych,32.5
38,afro-funk,36.0
39,afrobeat,33.16532258064516
40,afrofuturism,39.851694915254235
41,afrofuturismo brasileiro,36.0
42,afropop,30.940594059405942
43,afroswing,75.33333333333333
44,aggrotech,8.163636363636364
45,alabama indie,51.111111111111114
46,alabama metal,49.5
47,alabama rap,53.25925925925926
48,alaska indie,67.0
49,albanian hip hop,0.0
50,albanian pop,46.0
51,alberta country,44.666666666666664
52,alberta hip hop,74.5
53,album rock,34.90777866880513
54,albuquerque indie,53.875
55,alternative americana,53.416666666666664
56,alternative country,33.86510263929619
57,alternative dance,49.00529100529101
58,alternative emo,37.00869565217391
59,alternative hip hop,46.9405756731662
60,alternative metal,40.88880187940485
61,alternative pop,34.322916666666664
62,alternative pop rock,50.125
63,alternative r&b,57.73809523809524
64,alternative rock,40.362239741257326
65,alternative roots rock,36.25
66,amapiano,7.5
67,ambeat,57.0
68,ambient,36.40524781341108
69,ambient black metal,43.5
70,ambient dub techno,0.0
71,ambient folk,27.040816326530614
72,ambient house,39.333333333333336
73,ambient idm,35.0
74,ambient industrial,31.2
75,ambient pop,52.75
76,ambient psychill,10.0
77,ambient techno,24.0
78,ambient trance,15.0
79,ambient worship,54.5
