,genres,key_mode,popularity
0,21st century classical,A Minor,0.0
1,21st century classical,A# Major,30.0
2,21st century classical,C Minor,0.0
3,21st century classical,C# Major,0.0
4,21st century classical,E Major,3.0
5,432hz,A Major,56.0
6,432hz,B Minor,4.0
7,432hz,F Major,46.0
8,432hz,F# Minor,62.0
9,8-bit,F Major,0.0
10,a cappella,A Major,30.8
11,a cappella,A Minor,42.0
12,a cappella,A# Major,51.0
13,a cappella,A# Minor,27.5
14,a cappella,B Major,57.5
15,a cappella,B Minor,47.5
16,a cappella,C Major,29.5
17,a cappella,C Minor,43.666666666666664
18,a cappella,C# Major,41.0
19,a cappella,C# Minor,57.0
20,a cappella,D Major,51.714285714285715
21,a cappella,D Minor,32.0
22,a cappella,D# Major,21.0
23,a cappella,D# Minor,33.0
24,a cappella,E Major,62.333333333333336
25,a cappella,F Major,50.0
26,a cappella,F Minor,37.0
27,a cappella,F# Major,51.285714285714285
28,a cappella,F# Minor,43.0
29,a cappella,G Major,54.833333333333336
30,a cappella,G Minor,60.0
31,a cappella,G# Major,54.2
32,abstract,F Major,43.0
33,abstract,F Minor,43.0
34,abstract,F# Major,45.0
35,abstract,G# Major,45.0
36,abstract beats,A# Major,62.0
37,abstract hip hop,A Minor,1.5714285714285714
38,abstract hip hop,A# Major,2.0
39,abstract hip hop,A# Minor,19.6
40,abstract hip hop,B Major,20.5
41,abstract hip hop,B Minor,1.0
42,abstract hip hop,C Major,13.285714285714286
43,abstract hip hop,C Minor,3.0
44,abstract hip hop,C# Major,9.0
45,abstract hip hop,C# Minor,12.2
46,abstract hip hop,D Major,3.7333333333333334
47,abstract hip hop,D Minor,54.0
48,abstract hip hop,D# Minor,3.0
49,abstract hip hop,E Major,39.0
50,abstract hip hop,E Minor,6.714285714285714
51,abstract hip hop,F Major,0.0
52,abstract hip hop,F# Major,2.75
53,abstract hip hop,F# Minor,18.666666666666668
54,abstract hip hop,G Major,14.428571428571429
55,abstract hip hop,G Minor,0.0
56,abstract hip hop,G# Major,13.0
57,abstract hip hop,G# Minor,8.571428571428571
58,abstract idm,C Major,46.0
59,accordeon,D Major,34.0
60,accordeon,D Minor,38.0
61,accordeon,F Major,35.0
62,accordion,C Major,0.0
63,accordion,C# Major,62.0
64,accordion,D Major,22.666666666666668
65,accordion,D Minor,38.0
66,accordion,E Minor,12.0
67,accordion,F Major,0.0
68,accordion,G Major,38.0
69,accordion,G Minor,0.0
70,acid house,A Major,39.0
71,acid house,A Minor,26.0
72,acid house,A# Minor,28.0
73,acid house,B Major,29.5
74,acid house,B Minor,48.0
75,acid house,C Major,33.75
76,acid house,C# Major,0.0
77,acid house,C# Minor,0.0
78,acid house,D Major,48.0
79,acid house,E Major,38.0
80,acid house,E Minor,52.0
81,acid house,F# Major,1.0
82,acid house,F# Minor,28.0
83,acid house,G Major,48.0
84,acid house,G Minor,72.0
85,acid house,G# Major,34.666666666666664
86,acid house,G# Minor,30.0
87,acid jazz,A Major,28.0
88,acid jazz,A# Minor,44.0
89,acid jazz,C Major,0.0
90,acid jazz,C Minor,37.0
91,acid jazz,D Minor,16.0
92,acid jazz,E Major,35.0
93,acid jazz,F Major,13.5
94,acid jazz,F Minor,20.0
95,acid jazz,G Minor,14.666666666666666
96,acid rock,A Major,30.692307692307693
97,acid rock,A Minor,31.142857142857142
98,acid rock,A# Major,27.3
99,acid rock,A# Minor,33.0
100,acid rock,B Major,34.4
101,acid rock,B Minor,30.08
102,acid rock,C Major,30.555555555555557
103,acid rock,C Minor,37.27272727272727
104,acid rock,C# Major,39.27777777777778
105,acid rock,C# Minor,48.0
106,acid rock,D Major,29.36470588235294
107,acid rock,D Minor,29.714285714285715
108,acid rock,D# Major,30.833333333333332
109,acid rock,D# Minor,31.5
110,acid rock,E Major,27.703703703703702
111,acid rock,E Minor,37.81818181818182
112,acid rock,F Major,31.608695652173914
113,acid rock,F Minor,39.0
114,acid rock,F# Major,44.6
115,acid rock,F# Minor,37.5
116,acid rock,G Major,28.3
117,acid rock,G Minor,22.375
118,acid rock,G# Major,39.0
119,acid rock,G# Minor,36.5
120,acid techno,B Minor,0.0
121,acid techno,D Major,4.0
122,acid techno,F Minor,2.0
123,acid techno,G Major,0.0
124,acid trance,A Major,61.0
125,acid trance,G Major,19.0
126,acousmatic,A Major,7.0
127,acousmatic,A Minor,8.0
128,acousmatic,A# Major,1.0
129,acousmatic,A# Minor,2.5
130,acousmatic,B Major,7.25
131,acousmatic,C Major,10.4
132,acousmatic,C Minor,0.0
133,acousmatic,C# Major,6.4
134,acousmatic,C# Minor,4.0
135,acousmatic,D Major,22.8
136,acousmatic,D Minor,12.0
137,acousmatic,D# Major,3.0
138,acousmatic,E Major,56.0
139,acousmatic,F Major,19.333333333333332
140,acousmatic,F Minor,7.0
141,acousmatic,F# Major,10.0
142,acousmatic,F# Minor,7.0
143,acousmatic,G Major,0.0
144,acousmatic,G Minor,7.75
145,acousmatic,G# Major,7.2
146,acousmatic,G# Minor,1.0
147,acoustic blues,A Major,10.60909090909091
148,acoustic blues,A Minor,17.88888888888889
149,acoustic blues,A# Major,7.205882352941177
150,acoustic blues,A# Minor,19.0
151,acoustic blues,B Major,8.285714285714286
152,acoustic blues,B Minor,21.294117647058822
153,acoustic blues,C Major,12.578313253012048
154,acoustic blues,C Minor,10.5
155,acoustic blues,C# Major,9.444444444444445
156,acoustic blues,C# Minor,15.25
157,acoustic blues,D Major,11.144578313253012
158,acoustic blues,D Minor,11.444444444444445
159,acoustic blues,D# Major,9.0
160,acoustic blues,D# Minor,14.0
161,acoustic blues,E Major,11.228571428571428
162,acoustic blues,E Minor,11.833333333333334
163,acoustic blues,F Major,8.928571428571429
164,acoustic blues,F Minor,18.0
165,acoustic blues,F# Major,9.74074074074074
166,acoustic blues,F# Minor,12.5
167,acoustic blues,G Major,10.95959595959596
168,acoustic blues,G Minor,18.076923076923077
